Bloom's Taxonomy Level,Exam Questions
1,"State the significance of the keyword ""volatile"" in Java programming?"
1,"Recognize the purpose of the ""extern"" keyword in C programming?"
1,Examine the difference between static and dynamic linking in software development?
1,Identify the characteristics of a Singleton design pattern?
1,Recall the syntax for declaring a constant pointer to a constant integer in C++?
1,Reproduce the steps to implement a depth-first search algorithm for a graph?
1,Quote the definition of a semaphore in operating systems?
1,"Describe the purpose of the ""this"" pointer in C++?"
1,List the advantages of using a linked list over an array in certain scenarios?
1,Enumerate the differences between a shallow copy and a deep copy of an object?
1,Recognize the potential issues caused by race conditions in multithreaded programming?
1,"Recall the purpose of the ""virtual"" keyword in C++?"
1,Tabulate the differences between a heap and a stack in memory allocation?
1,Retell the steps to implement a binary search tree traversal without recursion?
1,State the output of a given regular expression applied to a string?
1,Identify the differences between an interface and an abstract class in Java?
1,"Describe the purpose of the ""volatile"" keyword in concurrent programming?"
1,"Match the correct data structure to its time complexity for searching (e.g., Hash Table - O(1))?"
1,Examine the syntax of a lambda function in Python?
1,"Recall the function of the ""super"" keyword in Java inheritance?"
1,Reproduce the steps to implement a merge sort algorithm in C?
1,Quote the definition of a dangling pointer in C programming?
1,Recognize the syntax for defining a macro in C language?
1,Describe the process of memory allocation for a dynamic array in C++?
1,Enumerate the advantages of using recursion in programming?
1,State the output of a given code snippet utilizing function pointers in C?
1,List the characteristics of a circular linked list?
1,Tabulate the differences between a stack and a queue data structure?
1,Retell the steps to implement operator overloading in C++?
1,Identify the potential issues caused by memory leaks in software development?
1,"Recognize the purpose of the ""const"" qualifier in function declarations?"
1,"Describe the function of the ""nullptr"" keyword in C++?"
1,Reproduce the steps to implement a priority queue using a heap data structure?
1,State the output of a given regular expression match operation in Python?
1,"Match the correct sorting algorithm to its worst-case time complexity (e.g., Quick Sort - O(n^2))?"
1,Examine the syntax of a function template in C++?
1,Recall the differences between pass-by-value and pass-by-reference in function arguments?
1,Quote the definition of a dangling reference in programming?
1,Recognize the syntax for defining an anonymous function in JavaScript?
1,"Describe the purpose of the ""friend"" keyword in C++ classes?"
1,Recognize the purpose of a DNSSEC (Domain Name System Security Extensions) in network security?
1,Examine the difference between TCP (Transmission Control Protocol) and UDP (User Datagram Protocol) in terms of connection-oriented and connectionless communication?
1,Describe the significance of a salt in password hashing algorithms?
1,Identify the characteristics of a RAID 5 configuration?
1,Recall the syntax for setting up port forwarding on a router?
1,Enumerate the differences between symmetric and asymmetric encryption algorithms?
1,Retell the steps to configure a VLAN (Virtual Local Area Network) on a managed switch?
1,List the advantages of using a VPN (Virtual Private Network) over a proxy server for online privacy?
1,Tabulate the differences between a stateful and a stateless firewall?
1,Recognize the purpose of MAC address filtering in wireless network security?
1,Reproduce the steps to configure SNMP (Simple Network Management Protocol) on a network device?
1,State the output of a given traceroute command in a networking scenario?
1,Describe the process of subnetting a given IP address range?
1,Quote the definition of a DMZ (Demilitarized Zone) in network security architecture?
1,Recognize the syntax for setting up QoS (Quality of Service) on a router for prioritizing VoIP traffic?
1,Identify the differences between TCP/IP and OSI models in terms of their layer representations?
1,Examine the purpose of a proxy server in web caching?
1,Recall the characteristics of a DDoS (Distributed Denial of Service) attack?
1,List the advantages of using SSH (Secure Shell) over Telnet for remote access?
1,Tabulate the differences between HTTP and HTTPS protocols in terms of security mechanisms?
1,Retell the steps to configure port security on a Cisco switch?
1,Describe the significance of ARP (Address Resolution Protocol) poisoning in network attacks?
1,Reproduce the steps to configure a static IP address on a Linux machine?
1,State the output of a given Wireshark capture analysis showing TCP handshake?
1,Recognize the syntax for setting up NAT (Network Address Translation) on a router?
1,Enumerate the differences between a hub and a switch in terms of collision domains?
1,Examine the purpose of a captive portal in guest Wi-Fi networks?
1,Recall the characteristics of a brute-force attack in password cracking?
1,List the advantages of using WPA3 (Wi-Fi Protected Access 3) over WPA2 for wireless security?
1,Tabulate the differences between a hardware and a software firewall?
1,Retell the steps to configure port forwarding on a firewall for hosting a web server?
1,Describe the process of setting up a VPN tunnel between two sites using IPsec (Internet Protocol Security)?
1,Quote the definition of a honeypot in network security?
1,Recognize the syntax for configuring ACLs (Access Control Lists) on a router interface?
1,Identify the differences between symmetric and asymmetric encryption algorithms in terms of key distribution?
1,Examine the purpose of SSL/TLS certificates in secure web communication?
1,Recall the characteristics of a MAC flooding attack in Ethernet networks?
1,Reproduce the steps to configure a GRE (Generic Routing Encapsulation) tunnel on a router?
1,"State the output of a ping command with the ""-t"" option in continuous mode?"
1,Describe the significance of a captive portal in guest Wi-Fi networks?
1,Recognize the purpose of a PID (Proportional-Integral-Derivative) controller in control systems?
1,Examine the difference between time division multiplexing (TDM) and frequency division multiplexing (FDM) in communication systems?
1,Describe the significance of a matched filter in signal processing?
1,Identify the characteristics of an active bandpass filter?
1,Recall the syntax for setting up a VHDL (VHSIC Hardware Description Language) module for a flip-flop?
1,Enumerate the differences between amplitude modulation (AM) and frequency modulation (FM) in radio communication?
1,Retell the steps to implement a finite impulse response (FIR) filter using windowing techniques?
1,List the advantages of using a phased array antenna over a traditional antenna for radar systems?
1,Tabulate the differences between time domain and frequency domain analysis of signals?
1,Recognize the purpose of a varactor diode in voltage-controlled oscillators?
1,Reproduce the steps to design a low-pass filter using the Butterworth approximation method?
1,State the output of a given Bode plot representing a second-order system?
1,Describe the process of clock recovery in digital communication systems?
1,Quote the definition of a Nyquist criterion in sampling theory?
1,Recognize the syntax for setting up a Verilog module for a counter circuit?
1,Identify the differences between synchronous and asynchronous communication protocols?
1,Examine the purpose of an op-amp (operational amplifier) in electronic circuits?
1,Recall the characteristics of a notch filter in signal processing?
1,List the advantages of using spread spectrum modulation techniques in wireless communication?
1,Tabulate the differences between a Smith chart and a polar plot in RF engineering?
1,Retell the steps to implement frequency synthesis using
1,phase-locked loops (PLL)?
1,Describe the significance of jitter in digital communication systems?
1,Reproduce the steps to perform spectrum analysis of a signal using a spectrum analyzer?
1,State the output of a given eye diagram analysis in high-speed digital communication?
1,Recognize the syntax for setting up a MATLAB script for simulating a communication system?
1,Enumerate the differences between analog and digital modulation techniques?
1,Examine the purpose of an ADC (Analog-to-Digital Converter) in signal processing?
1,Recall the characteristics of a Z-transform in digital signal processing?
1,Quote the definition of a constellation diagram in digital communication?
1,Recognize the differences between baseband and passband signals in modulation?
